นึ	1
แล้ว	13
ครั้งแรก	1
เจอ	1
อยาก	1
ดีมาก	1
#Teamda	1
ไม่รู้	1
วว	1
อมยิ้ม	1
เข้าถึง	1
คุณ	2
ล้งเล้ง	1
ออ	1
เว้ย	1
คน	6
เจ๊	3
ให้	1
สนใจ	1
เท่าไหร่	1
กิบ	7
ผัว	1
เข้า	1
อ้า	1
แน	1
ฮิต	1
ทุกวัน	1
เ	2
ห้าม	1
และ	2
เพราะ	7
ทร	1
บอกว่า	2
กอด	1
1	2
ss	1
เปิด	2
ไม่ต้อง	2
#nontthevoice	1
เสียงเพราะ	2
อีก	2
เดอะ	5
ลื่น	1
จีบ	2
มา	18
เสียง	8
ใหม่	1
ตอนนี้	3
ตรึง	1
กิฟท์	1
อื่น	1
หญิง	2
มาณ	1
ใคร	1
ผู้หญิง	1
โอ้ยย	1
ดิ	1
ไหล	1
ครับ	1
ภรรยา	4
อี	1
ช่วง	1
ชิล	1
|	1342
อ่ะ	6
ตอนนั้น	8
ร้าย	3
วอยซ์	3
พยายาม	1
แบบ	1
น่ารัก	4
ใจอยู่	1
เหมือน	3
ทั้ง	1
เตือน	1
ดี	1
โดร	2
คบ	1
แง	1
ฮา	2
น้ำตา	3
ได้	5
#thevoiceth	4
เหมือนกัน	1
+	1
ซึ้งอ่ะะ	1
ติวเตอร์	2
ว๊อย	1
ยู	1
attitude	1
เรื่อยๆ	1
เอ็นเตอร์เทน	1
3	2
ทิ้ง	1
เอื้อมมือ	1
ตอนพี่เ	1
voice	3
ยาว	1
ลูกคอ	2
#TheVoiceThailandSeason	1
น่าจะ	2
งานดี	1
กู๋	2
ด่วน	1
หลาย	1
นี้	22
มาร	1
ดราม่า	3
ล่ะ	2
ยัง	9
พ	1
มี	7
ผญ	1
เปลี่ยน	1
แป๊บ	1
ไร่	1
น้ำตาไหล	2
ถ.	1
เท่านั้น	1
คู่แข่ง	1
รต	1
ช่วงม.1	1
ใน	12
มม	1
ชวน	2
าา	1
อยู่	13
ยังไง	1
ไม่ใช่	1
คือ	11
นักร้อง	2
กว่า	2
ยิ่ง	1
ล	2
อ่าน	1
กูร	1
เจ็บ	1
สุดยอด	3
บอก	4
คอน	1
พึ่ง	3
เข้าไป	1
วัยรุ่น	1
ป้าด	1
คนเล	1
ตัว	1
เปลี่ยนแปลง	1
เรา	4
สนิท	1
ตลก	2
ก้มหน้า	1
ไม่เอา	1
#เทยเที่ยวไทย#TheVoiceTH	1
ทีม	11
ทุกวันนี้	1
กุ	1
ไม่อยู่	2
จุฑาทิพย์	1
เนอะ	1
ว้อย	1
พี่	28
เที่ยว	1
ใช้	1
โจ	3
บรรจุ	1
กี่	1
ทีนี้	1
แป๊ก	1
โอเค	1
247	1
+สไตล์การร้องมาก!!ยังไม่มีใครโดดเด่ง	1
ผู้เข้าประกวด	1
ปจ	1
แท็ก	1
นำ	1
เท่า	1
ฟิสิกส์	1
หล่อ	1
นั้น	3
จุก	1
ร้องเพลง	4
ลูก	2
มานะ	1
นั่ง	2
มุม	1
สด	4
โค้ช	6
หรือ	3
ชิง	1
ชอบเสียง	2
วิต	1
เก่ง	2
สัปดาห์	2
แสตมป์	1
สิงโต	2
เพื่อนสนิท	11
รอบ	4
the	2
ป#teamda	1
ความทรงจำ	1
ไม่มี	2
้องมันก็เปนปัจจัยนึงที่ทำให้ดังเพียงข้ามคืน#	1
นั้นแหละ	1
มาก	18
คิดในใจ	1
ตา	1
ตี	1
ละ	6
ป	1
น่อย	1
ออกมา	1
ท่อน	1
ดาอะเลิร์ต	1
เห็น	3
พึง	1
โหย	1
น่าฟัง	1
นอกจาก	1
เธอ	2
แม่ง	2
น.	1
พอ	1
ผ่าน	1
โด	2
หรอ	1
เพื่อน	1
หมด	2
ไม่ว่า	2
เลย	27
โค	1
เมีย	1
ป.	4
เทป	1
#ThevoiceTH	1
สู้	1
คู่	1
ที่รัก	2
า?	1
นักดนตรี	1
็กแซ่บๆฮาาา	1
ทรงพลัง	1
ท	1
ที่	19
เด๋ว	1
ไป	14
ลง	2
ดีงาม	1
ม	1
ตาม	2
จับ	1
ฟังของพี่เ	1
ลอย	2
ss1จนถึงss4	1
เอน	2
การตาม	1
กู	5
น้า	1
ชื่อเล่น	1
นี่	16
นึกถึง	1
ปกติ	3
ยย	2
การ	2
ทำ	1
สมัย	3
#TeamDa	2
กับ	6
ต่อไป	1
แต่ละคน	1
รู้สึก	1
อะ	8
แก	1
ดา	35
อิน	3
แหละ	1
ไง	3
กัน	4
มหาลัย	1
เมื่อวาน~	1
รั่ว	1
อัลบั้ม	2
สัญญา	1
~	1
คิ้ม	4
Ed	1
ด่า	1
ตัด	1
จ้า	1
ขึ้น	3
